Date,Thai 25%_vs_Thai 5%_usd,Thai 25%_vs_Thai 5%_pct,Thai A.1_vs_Thai 5%_usd,Thai A.1_vs_Thai 5%_pct,Vietnamese 5%_vs_Thai 5%_usd,Vietnamese 5%_vs_Thai 5%_pct,Thai 5%_price,Thai 25%_price,Thai A.1_price,Vietnamese 5%_price
2022-01-01,8.0,1.873536299765808,23.850000000000023,5.58548009367682,31.060000000000002,7.27400468384075,427,419,403.15,395.94
2022-02-01,5.0,1.1709601873536302,21.05000000000001,4.929742388758785,42.79000000000002,10.021077283372371,427,422,405.95,384.21
2022-03-01,3.0,0.7109004739336493,14.870000000000005,3.523696682464456,30.329999999999984,7.187203791469191,422,419,407.13,391.67
2022-04-01,2.0,0.46403712296983757,21.939999999999998,5.090487238979118,28.620000000000005,6.640371229698378,431,429,409.06,402.38
2022-05-01,6.0,1.293103448275862,21.139999999999986,4.556034482758617,57.55000000000001,12.403017241379313,464,458,442.86,406.45
2022-06-01,3.0,0.6756756756756757,16.44999999999999,3.7049549549549523,32.079999999999984,7.2252252252252225,444,441,427.55,411.92
2022-07-01,6.0,1.4354066985645932,12.329999999999984,2.9497607655502356,6.910000000000025,1.6531100478468959,418,412,405.67,411.09
2022-08-01,10.0,2.320185614849188,18.44999999999999,4.280742459396749,35.19999999999999,8.167053364269139,431,421,412.55,395.8
2022-09-01,11.0,2.5056947608200453,15.639999999999986,3.562642369020498,46.75999999999999,10.65148063781321,439,428,423.36,392.24
2022-10-01,11.0,2.5522041763341066,19.379999999999995,4.496519721577725,21.920000000000016,5.0858468677494235,431,420,411.62,409.08
2022-11-01,10.0,2.272727272727273,22.5,5.113636363636364,18.79000000000002,4.27045454545455,440,430,417.5,421.21
2022-12-01,10.0,2.141327623126338,20.610000000000014,4.413276231263386,34.64999999999998,7.4197002141327575,467,457,446.39,432.35
2023-01-01,10.0,1.9342359767891684,32.360000000000014,6.259187620889752,76.33999999999997,14.765957446808505,517,507,484.64,440.66
2023-02-01,10.0,2.0325203252032518,23.05000000000001,4.684959349593498,43.72000000000003,8.886178861788624,492,482,468.95,448.28
2023-03-01,8.0,1.680672268907563,15.089999999999975,3.1701680672268853,31.360000000000014,6.58823529411765,476,468,460.91,444.64
2023-04-01,11.0,2.19560878243513,18.120000000000005,3.6167664670658692,45.89999999999998,9.161676646706582,501,490,482.88,455.1
2023-05-01,15.0,2.941176470588235,17.319999999999993,3.3960784313725476,39.47000000000003,7.739215686274516,510,495,492.68,470.53
2023-06-01,18.0,3.501945525291829,18.25,3.5505836575875485,5.759999999999991,1.1206225680933835,514,496,495.75,508.24
2023-07-01,23.0,4.204753199268739,13.549999999999955,2.4771480804387487,44.24000000000001,8.087751371115175,547,524,533.45,502.76
2023-08-01,35.0,5.511811023622047,9.0,1.4173228346456692,93.85000000000002,14.779527559055122,635,600,626.0,541.15
2023-09-01,33.0,5.32258064516129,10.100000000000023,1.6290322580645198,25.629999999999995,4.1338709677419345,620,587,609.9,594.37
2023-10-01,27.0,4.576271186440678,15.289999999999964,2.5915254237288075,-26.149999999999977,-4.432203389830504,590,563,574.71,616.15
2023-11-01,25.0,4.1806020066889635,23.409999999999968,3.91471571906354,-31.409999999999968,-5.252508361204008,598,573,574.59,629.41
2023-12-01,34.0,5.279503105590062,14.409999999999968,2.2375776397515477,11.100000000000023,1.7236024844720532,644,610,629.59,632.9
2024-01-01,40.0,6.0606060606060606,11.139999999999986,1.6878787878787858,34.49000000000001,5.225757575757577,660,620,648.86,625.51
2024-02-01,30.0,4.807692307692308,4.100000000000023,0.6570512820512857,9.740000000000009,1.5608974358974375,624,594,619.9,614.26
2024-03-01,29.0,4.730831973898858,5.279999999999973,0.8613376835236497,27.57000000000005,4.497553017944543,613,584,607.72,585.43
2024-04-01,28.0,4.72972972972973,14.049999999999955,2.3733108108108034,20.5,3.4628378378378377,592,564,577.95,571.5
2024-05-01,35.0,5.573248407643312,21.529999999999973,3.4283439490445815,60.02999999999997,9.558917197452226,628,593,606.47,567.97
2024-06-01,37.0,5.8544303797468356,18.700000000000045,2.9588607594936778,70.37,11.134493670886076,632,595,613.3,561.63
2024-07-01,33.0,5.593220338983051,19.129999999999995,3.242372881355932,37.57000000000005,6.3677966101695,590,557,570.87,552.43
2024-08-01,29.0,4.923599320882852,22.299999999999955,3.786078098471979,53.75,9.125636672325976,589,560,566.7,535.25
2024-09-01,24.0,4.137931034482759,15.75,2.71551724137931,39.539999999999964,6.817241379310339,580,556,564.25,540.46
2024-10-01,16.0,3.1067961165048543,10.189999999999998,1.9786407766990286,-14.840000000000032,-2.8815533980582586,515,499,504.81,529.84
2024-11-01,24.0,4.6966731898238745,21.399999999999977,4.1878669275929505,1.3100000000000023,0.256360078277887,511,487,489.6,509.69
2024-12-01,27.0,5.1233396584440225,25.060000000000002,4.755218216318786,31.329999999999984,5.944971537001894,527,500,501.94,495.67
