Date,Thai 25%_spread_usd,Thai 25%_spread_pct,Thai 25%_spread_ma12,Thai A.1_spread_usd,Thai A.1_spread_pct,Thai A.1_spread_ma12,Vietnamese 5%_spread_usd,Vietnamese 5%_spread_pct,Vietnamese 5%_spread_ma12,Thai 5%_price,Thai 5%_price_ma12,Thai 25%_price,Thai 25%_price_ma12,Thai A.1_price,Thai A.1_price_ma12,Vietnamese 5%_price,Vietnamese 5%_price_ma12
2012-09-01,19.5,3.462050599201065,19.823611111110825,51.25,9.098979138925877,46.74583333333333,108.07249999999999,19.187305814469592,110.81045833333333,563.25,573.4083333333334,543.75,553.5847222222225,512.0,526.6625,455.1775,462.597875
2012-10-01,25.75,4.612628750559785,18.7027777777775,38.0,6.806986117330944,40.7125,104.50599999999997,18.720286609941777,117.94741666666665,558.25,569.9791666666666,532.5,551.2763888888891,520.25,529.2666666666667,453.744,452.03174999999993
2012-11-01,29.25,5.230219043361646,18.556944444444166,36.25,6.481895395619134,38.275,110.92750000000001,19.83504693786321,123.31616666666666,559.25,565.3125,530.0,546.7555555555558,523.0,527.0375,448.3225,441.9963333333333
2012-12-01,27.799999999999955,4.98386518465399,19.18611111111083,37.39999999999998,6.704912154894224,37.912499999999994,144.04999999999995,25.82466833990677,128.54333333333332,557.8,562.9833333333332,530.0,543.7972222222224,520.4,525.0708333333333,413.75,434.44
2013-01-01,24.200000000000045,4.289259127968813,20.53611111111083,34.200000000000045,6.06168025522865,38.61666666666667,162.95500000000004,28.88248847926268,134.57541666666665,564.2,564.8333333333334,540.0,544.2972222222224,530.0,526.2166666666666,401.245,430.25791666666663
2013-02-01,24.25,4.30728241563055,21.84861111111083,28.0,4.9733570159857905,39.34583333333333,161.35500000000002,28.65985790408526,139.09916666666666,563.0,566.9583333333334,538.75,545.1097222222224,535.0,527.6125,401.645,427.8591666666667
2013-03-01,24.0,4.293381037567084,23.54861111111083,26.5,4.740608228980322,39.78333333333333,157.39,28.155635062611807,142.27729166666666,559.0,567.875,535.0,544.3263888888891,532.5,528.0916666666666,401.61,425.5977083333333
2013-04-01,21.399999999999977,3.8420107719928147,25.575,26.399999999999977,4.739676840215436,40.775,166.24432432432002,29.846377796107724,147.21140202702668,557.0,568.6458333333334,535.6,543.0708333333333,530.6,527.8708333333333,390.75567567568,421.43443130630664
2013-05-01,34.75,6.39374425022999,24.53333333333333,32.75,6.025758969641214,40.275,156.65188108107998,28.82279320719043,146.33139211711668,543.5,563.8958333333334,508.75,539.3625000000001,510.75,523.6208333333333,386.84811891892,417.56444121621666
2013-06-01,40.5,7.725321888412018,26.075,32.25,6.151645207439199,38.0625,138.31846846846997,26.384066469903665,142.18813948948915,524.25,557.5833333333334,483.75,531.5083333333333,492.0,519.5208333333334,385.93153153153,415.3951938438442
2013-07-01,55.0,10.805500982318271,29.09583333333333,47.19999999999999,9.273084479371315,37.4125,121.25941441441,23.823067664913555,138.58767402402333,509.0,552.1875,454.0,523.0916666666667,461.8,514.775,387.74058558559,413.59982597597667
2013-08-01,53.75,11.22715404699739,31.679166666666664,50.5,10.548302872062663,36.725,79.31086486485998,16.56623809187676,134.25341276276166,478.75,544.7708333333334,425.0,513.0916666666667,428.25,508.04583333333335,399.43913513514,410.51742057057163
2013-09-01,16.0,3.6036036036036037,31.3875,12.523809523809973,2.8206778206779215,33.4978174603175,82.0,18.46846846846847,132.08070442942832,444.0,534.8333333333334,428.0,503.4458333333334,431.47619047619,501.3355158730158,362.0,402.75262890390496
2013-10-01,16.0,3.644646924829157,30.575,18.565217391299996,4.228978904624145,31.87825224292583,62.68421052631999,14.278863445630977,128.59555530662166,439.0,524.8958333333334,423.0,494.3208333333334,420.4347826087,493.0175810904075,376.31578947368,396.3002780267116
2013-11-01,33.0,7.534246575342466,30.8875,23.69999999999999,5.410958904109586,30.832418909592494,42.11764705882001,9.615901154981737,122.86140089485667,438.0,514.7916666666666,405.0,483.9041666666667,414.3,483.95924775707414,395.88235294118,391.93026577181007
2013-12-01,52.33333333333002,11.603843311159649,32.93194444444417,50.23809523809001,11.139267236827054,31.90226017943333,31.58823529412001,7.004043302465634,113.48958716936666,451.0,505.8916666666667,398.66666666667,472.9597222222225,400.76190476191,473.98940648723334,419.41176470588,392.4020794973
2014-01-01,73.0,16.22222222222222,36.99861111111083,45.0,10.0,32.802260179433326,48.0,10.666666666666668,103.91000383603334,450.0,496.375,377.0,459.37638888888915,405.0,463.5727398205667,402.0,392.46499616396665
2014-02-01,77.0,16.775599128540307,41.39444444444417,9.149999999999977,1.9934640522875766,31.231426846099993,65.83999999999997,14.344226579520692,95.9504205027,459.0,487.7083333333333,382.0,446.31388888888915,449.85,456.4769064872334,393.16,391.75791283063336
2014-03-01,56.0,13.270142180094787,44.061111111110826,-3.1000000000000227,-0.7345971563981096,28.764760179433324,43.43000000000001,10.291469194312798,86.45375383603334,422.0,476.2916666666667,366.0,432.23055555555584,425.1,447.52690648723336,378.57,389.83791283063334
2014-04-01,43.0,10.886075949367088,45.86111111111084,-4.2900000000000205,-1.086075949367094,26.207260179433323,24.089999999999975,6.098734177215183,74.60756014233999,395.0,462.7916666666667,352.0,416.9305555555558,399.29,436.5844064872333,370.91,388.18410652432664
2014-05-01,42.0,10.824742268041238,46.46527777777751,-3.5500000000000114,-0.9149484536082504,23.182260179433325,-2.480000000000018,-0.6391752577319635,61.34657005225,388.0,449.8333333333333,346.0,403.3680555555558,391.55,426.6510731539,390.48,388.48676328108337
2014-06-01,41.0,10.327455919395465,46.50694444444417,-5.569999999999993,-1.403022670025187,20.030593512766657,-7.5,-1.8891687657430731,49.19503101321084,397.0,439.2291666666667,356.0,392.72222222222246,402.57,419.1985731539,404.5,390.0341356534559
2014-07-01,47.0,11.137440758293838,45.84027777777751,-13.389999999999986,-3.172985781990518,14.981426846099993,1.1299999999999955,0.26777251184834017,39.18424647867666,422.0,431.9791666666667,375.0,386.13888888888914,435.39,416.99773982056666,420.87,392.79492018799004
2014-08-01,31.0,6.96629213483146,43.94444444444417,-15.569999999999993,-3.4988764044943803,9.47559351276666,2.3799999999999955,0.5348314606741563,32.77334107327166,445.0,429.1666666666667,414.0,385.22222222222246,460.57,419.69107315389994,442.62,396.39332559339505
2014-09-01,21.0,4.861111111111112,44.36111111111084,-17.910000000000025,-4.145833333333339,6.939442719115827,-10.050000000000011,-2.3263888888888915,25.10250773993833,432.0,428.1666666666667,411.0,383.8055555555558,449.91,421.22722394755084,442.05,403.0641589267284
2014-10-01,19.0,4.439252336448598,44.61111111111084,-9.569999999999993,-2.2359813084112132,4.594841269840828,-8.95999999999998,-2.093457943925229,19.132156862744996,428.0,427.25,409.0,382.63888888888914,437.57,422.6551587301592,436.96,408.117843137255
2014-11-01,18.0,4.30622009569378,43.36111111111084,-5.800000000000011,-1.387559808612443,2.136507936507494,-4.0,-0.9569377990430622,15.28901960784333,418.0,425.5833333333333,400.0,382.22222222222246,423.8,423.4468253968259,422.0,410.29431372549
2014-12-01,20.0,4.784688995215311,40.666666666666664,-3.180000000000007,-0.7607655502392361,-2.315000000000007,35.610000000000014,8.519138755980865,15.624166666666662,418.0,422.8333333333333,398.0,382.1666666666667,421.18,425.1483333333333,382.39,407.2091666666667
2015-01-01,20.0,4.761904761904762,36.25,1.4499999999999886,0.3452380952380925,-5.944166666666675,45.579999999999984,10.852380952380948,15.422499999999994,420.0,420.3333333333333,400.0,384.0833333333333,418.55,426.2775,374.42,404.91083333333336
2015-02-01,20.0,4.761904761904762,31.5,3.0,0.7142857142857143,-6.456666666666673,66.5,15.833333333333332,15.477499999999997,420.0,417.0833333333333,400.0,385.5833333333333,417.0,423.53999999999996,353.5,401.6058333333333
2015-03-01,18.0,4.390243902439024,28.333333333333332,-1.0,-0.24390243902439024,-6.281666666666671,49.25999999999999,12.01463414634146,15.96333333333333,410.0,416.0833333333333,392.0,387.75,411.0,422.365,360.74,400.11999999999995
2015-04-01,15.0,3.7593984962406015,26.0,-1.259999999999991,-0.3157894736842083,-6.029166666666669,44.98000000000002,11.273182957393487,17.704166666666666,399.0,416.4166666666667,384.0,390.4166666666667,400.26,422.4458333333334,354.02,398.71250000000003
